Date,Open,High,Low,Close,Volume
2019-08-15,186.68,189.46,178.14,188.50,8197244441
2019-08-16,188.64,188.91,180.38,185.44,7133915837
2019-08-17,185.53,186.70,182.59,185.69,5512696513
2019-08-18,185.84,197.52,183.69,194.49,5969012024
2019-08-19,194.56,203.56,193.11,203.09,6145148692
2019-08-20,202.81,203.02,195.62,196.57,6408417610
2019-08-21,196.62,197.03,182.69,186.89,7775772700
2019-08-22,186.94,194.42,183.38,191.33,7569043874
2019-08-23,191.11,195.91,189.56,194.71,6658162377
2019-08-24,194.67,194.78,187.63,191.29,6249737982
2019-08-25,191.23,192.16,184.96,186.84,5826017143
2019-08-26,186.74,193.44,186.74,188.93,7207986636
2019-08-27,188.95,188.96,185.47,187.52,6042327402
2019-08-28,187.50,187.93,172.19,173.89,6696604087
2019-08-29,173.96,174.00,167.17,169.52,7129569083
2019-08-30,169.49,170.77,167.07,168.83,5776520220
2019-08-31,168.89,174.32,167.80,172.47,5830212249
2019-09-01,172.46,173.70,169.53,171.63,5554799576
2019-09-02,171.70,180.15,170.45,178.35,6503447137
2019-09-03,178.36,182.35,175.97,179.50,6962728938
2019-09-04,179.49,180.14,175.33,175.99,5938120494
2019-09-05,175.97,176.16,171.75,174.22,5589476516
2019-09-06,174.17,177.72,168.34,169.96,6797611878
2019-09-07,169.96,180.85,169.44,178.26,6791531342
2019-09-08,178.28,182.98,178.14,181.36,6472677266
2019-09-09,181.36,184.15,177.42,181.15,7232938985
2019-09-10,181.21,184.06,178.12,179.79,6291476772
2019-09-11,179.84,181.76,176.50,178.73,7157139035
2019-09-12,178.80,182.00,177.85,181.02,5838605477
2019-09-13,180.98,181.50,178.58,181.11,5955041237
2019-09-14,181.32,188.45,180.37,188.11,6500686511
2019-09-15,188.07,190.40,186.45,189.79,6222874780
2019-09-16,189.69,198.20,189.69,197.11,8242029488
2019-09-17,197.11,213.73,196.72,208.61,10232590812
2019-09-18,208.05,216.71,208.05,211.39,9194634557
2019-09-19,211.25,222.87,204.69,221.28,10620070913
2019-09-20,221.07,221.60,215.16,218.05,8027974273
2019-09-21,217.90,220.96,215.00,215.52,7743309778
2019-09-22,215.49,216.09,207.64,211.55,7812854576
2019-09-23,211.71,211.84,201.89,201.92,7494673136
2019-09-24,201.84,203.50,162.73,168.11,11757739233
2019-09-25,168.13,174.72,164.91,170.89,9766632018
2019-09-26,170.76,171.69,157.13,166.73,7848286154
2019-09-27,166.65,175.61,163.21,174.71,7909313625
2019-09-28,174.68,175.78,170.77,174.57,6895423445
2019-09-29,174.61,175.21,167.00,170.50,6497088199
2019-09-30,170.46,179.87,167.04,179.87,7552915148
2019-10-01,180.21,185.05,175.81,177.34,7676276225
2019-10-02,177.22,180.83,175.33,180.71,6335595250
2019-10-03,180.70,180.80,172.60,175.20,6381403725
2019-10-04,175.24,178.55,173.56,176.99,6248928449
2019-10-05,176.95,177.71,173.07,176.35,5837211771
2019-10-06,176.36,177.36,171.30,173.06,5852890674
2019-10-07,172.94,182.36,171.53,181.19,7844316834
2019-10-08,181.11,184.36,179.13,182.02,7466282780
2019-10-09,182.04,194.30,180.67,193.29,9088122101
2019-10-10,193.19,193.90,188.31,191.66,8375913276
